quarterID,"ratio of sleeplessness to sleep, restricted, male","ratio of sleeplessness to sleep, restriced, female","ratio, male","ratio, female","ratio, both sexes",moving average,sleepft,productionft,hworkft,leisureft,countft,sleeppt,productionpt,hworkpt,leisurept,countpt,sleepnw,hworknw,leisurenw,countnw
20031,0.1897768825,0.1835350096,0.0024566588,0.0035866005,0.0031102677,#N/A,499.4518737793,314.0973815918,214.2362060547,405.7082519531,2629,524.5615234375,200.528213501,241.6121520996,464.2850952148,691,544.299987793,278.8346252441,570.10546875,1820
20032,0.1932467967,0.136695236,0.002724184,0.0036261214,0.0032274071,#N/A,501.0915222168,299.9752502441,215.6083984375,417.2891845703,2666,522.2887573242,194.7482147217,258.5348510742,457.1479492188,703,547.4290771484,269.2370605469,584.4763793945,1776
20033,0.1927846521,0.1567158252,0.0030573776,0.0041241008,0.0036511591,#N/A,505.5974121094,294.3018493652,221.9378204346,413.7721252441,2541,531.3661499023,206.7834625244,249.6601104736,442.9527587891,762,550.7748413086,265.5562744141,570.0197753906,1821
20034,0.1975449622,0.2079136968,0.0026237764,0.0056722835,0.0043305494,0.0035798458,505.5311584473,302.1223144531,206.7750091553,415.4484863281,2649,531.0987548828,196.968963623,252.5204467773,444.7616271973,709,557.024597168,250.2729187012,579.6820068359,1953
20041,0.0948825106,0.163241297,0.0024081855,0.0063816709,0.0046388474,0.0039619908,501.3122558594,299.5283813477,217.6077423096,416.4922485352,1550,528.0067138672,208.7785186768,242.7539215088,450.2304382324,447,551.7752685547,262.2639465332,581.1637573242,1148
20042,0.1283120364,0.15712291,0.0040903348,0.00619451,0.0052799545,0.0044751276,499.144744873,291.9675598145,216.2984924316,427.2564697266,1665,521.2744750977,189.8615722656,276.1718444824,444.6253051758,419,545.3607788086,263.8345336914,600.4237060547,1239
20043,0.1350963563,0.1432718039,0.0048614219,0.0075406209,0.0063548563,0.0051510519,497.252532959,322.6974182129,210.1917877197,405.6569213867,1778,514.77734375,228.279296875,236.21484375,454.50390625,512,547.958984375,267.020111084,581.6264648438,1293
20044,0.1339621246,0.1732831001,0.0038364371,0.0067492509,0.005477543,0.0054378003,510.1993713379,289.4607849121,213.395690918,419.5238342285,1951,526.6247558594,205.3945770264,239.7659606934,458.2495117188,517,550.3287353516,253.6953277588,580.2035522461,1454
20051,0.1653789133,0.1643640548,0.0066441493,0.0088330526,0.0079158172,0.0062570428,502.0305175781,299.266418457,227.9137268066,403.629119873,1704,534.8512573242,192.8421020508,254.3043518066,447.281463623,437,545.8206787109,270.8939819336,579.5936279297,1132
20052,0.1534046531,0.1700734496,0.0069020959,0.0093321372,0.0082737943,0.0070055027,504.5055236816,299.8708496094,212.4354248047,414.496307373,1626,529.7359619141,189.3878479004,244.6658935547,466.2009277344,428,556.5112304688,260.4338378906,581.6057739258,1111
